# ops request [READ]
# type=db  id=k-fit-1
# code ca5e101ef04586abcdfcff023c6170617bf5bce5 · started 2026-09-07T15:35:19Z
series                      contests  losses  entry  awin     aloss   
KXSOLMAXMON                 1         1       8.4             -1343.97
KXPAYROLLS                  1         1       12.9            -954.67 
KXUEFASCSPREAD              1         0       7.0    82.68            
KXGRECUPTOTAL               1         1       13.5            -220.15 
KXMLS1HTOTAL                1         0       28.3   83.94            
KXAPFDDHSPREAD              1         0       12.4   80.00            
KXCLAUDE                    1         0       12.0   23.63            
KXUAPFILES                  1         0       7.0    27.56            
KXMLBASGHR                  1         0       12.1   1139.00          
KXFDAANNOUNCE               1         0       9.0    44.31            
KXEFLCUPTOTAL               1         1       8.4             -77.00  
KXHMONTH                    1         0       16.0   60.00            
KXETHMAXMON                 1         1       7.1             -1313.67
KXENGCSGAME                 1         0       19.8   17.54            
KXH200MS                    1         0       20.0   72.88            
KXWTA                       1         0       18.3   51.00            
KXKBOTOTAL                  1         0       21.0   20.71            
KXFIBATOTAL                 1         0       17.3   68.05            
KXCPICORE                   1         0       19.4   204.00           
KXEFLCUPGAME                1         0       12.0   22.00            
KXHEGSETHOUT                1         0       5.0    34.44            
KXWCFIRSTSONG               1         0       10.6   253.00           
KXBNBMINMON                 1         0       10.8   128.07           
KXUEFASCTOTAL               1         0       16.7   79.75            
KXAAAGASWNJ                 1         0       62.5   38.51            
KXWNBA3QTOTAL               1         0       41.0   40.58            
KXWNBA2QWINNER              1         0       8.0    28.00            
KXMLBASGMVP                 1         0       13.6   431.00           
KXBOLPDIVGAME               1         0       9.0    8.86             
KXUFCROUNDS                 1         0       45.0   89.14            
KXCLUBFBTTS                 1         0       6.0    5.90             
KXCPICOMBO                  1         0       13.2   331.00           
KXDROPOUTPRIMARY            1         0       8.3    203.00           
KXWNBA1QSPREAD              1         0       15.0   14.78            
KXENGCSBTTS                 1         0       17.0   16.75            
KXDFBPOKALTOTAL             1         0       33.0   43.32            
KXRAINCHIM                  1         0       17.3   119.36           
KXBRENTMON                  1         0       12.1   296.60           
KXECONSTATCPI               1         0       11.5   256.00           
KXRANKLISTSONGSPOTUSA       1         0       8.5    164.00           
