# ops request [READ]
# type=db  id=lo-tc-radius-1
# code b6cdd9d4b1b0e4666485755e1f7b911bc142d4ab · started 2026-09-07T13:53:15Z
family                   status    reason                                                                                                                                                                                                    n    first_seen                     last_seen                    
KXDPWORLDTOUR            filled    (null)                                                                                                                                                                                                    4    2026-08-16 00:14:21.746252+00  2026-08-16 13:12:30.303128+00
KXDROPOUTPRIMARY         canceled  timeout                                                                                                                                                                                                   7    2026-08-09 02:47:53.226263+00  2026-08-10 15:15:22.927686+00
KXEARTHQUAKEM            canceled  timeout                                                                                                                                                                                                   4    2026-08-18 16:04:17.361782+00  2026-08-29 05:38:38.345341+00
KXECONSTATCORECPIYOY     canceled  timeout                                                                                                                                                                                                   3    2026-08-09 06:32:28.539822+00  2026-08-10 10:02:35.268936+00
KXECONSTATCORECPIYOY     rejected  Kalshi API error 400 on /trade-api/v2/portfolio/events/orders: {"error":{"code":"invalid_order","message":"invalid order","details":"post only cross"}}                                                   1    2026-08-10 14:11:37.069803+00  2026-08-10 14:11:37.069803+00
KXECONSTATCPI            rejected  Kalshi API error 400 on /trade-api/v2/portfolio/events/orders: {"error":{"code":"invalid_order","message":"invalid order","details":"post only cross"}}                                                   1    2026-08-09 09:36:27.650151+00  2026-08-09 09:36:27.650151+00
KXECONSTATCPI            canceled  timeout                                                                                                                                                                                                   1    2026-08-10 11:36:05.313724+00  2026-08-10 11:36:05.313724+00
KXECONSTATCPIYOY         canceled  timeout                                                                                                                                                                                                   1    2026-08-09 22:37:15.063483+00  2026-08-09 22:37:15.063483+00
KXECULPGAME              filled    (null)                                                                                                                                                                                                    5    2026-07-26 22:37:15.380285+00  2026-08-18 01:21:15.159015+00
KXECULPGAME              canceled  timeout                                                                                                                                                                                                   1    2026-08-13 04:18:52.271515+00  2026-08-13 04:18:52.271515+00
KXECULPTOTAL             filled    (null)                                                                                                                                                                                                    3    2026-08-10 23:15:11.8823+00    2026-09-07 01:29:33.924307+00
KXEFLCHAMPIONSHIPGAME    canceled  (null)                                                                                                                                                                                                    4    2026-08-15 15:34:47.760193+00  2026-09-02 20:30:13.726348+00
KXEFLCHAMPIONSHIPGAME    filled    (null)                                                                                                                                                                                                    3    2026-08-15 13:16:52.690837+00  2026-08-29 11:55:20.402464+00
KXEFLCHAMPIONSHIPGAME    canceled  book_stood_down                                                                                                                                                                                           1    2026-08-15 12:48:36.500565+00  2026-08-15 12:48:36.500565+00
KXEFLCHAMPIONSHIPTOTAL   canceled  book_stood_down                                                                                                                                                                                           1    2026-08-15 12:16:28.867139+00  2026-08-15 12:16:28.867139+00
KXEFLCHAMPIONSHIPTOTAL   filled    (null)                                                                                                                                                                                                    1    2026-08-15 17:08:49.750816+00  2026-08-15 17:08:49.750816+00
KXEFLCUPTOTAL            filled    (null)                                                                                                                                                                                                    1    2026-08-10 19:54:48.270416+00  2026-08-10 19:54:48.270416+00
KXEFLL1TOTAL             filled    (null)                                                                                                                                                                                                    2    2026-08-15 12:57:34.582177+00  2026-08-15 13:28:42.395338+00
KXELITESERIENSPREAD      rejected  Kalshi API error 400 on /trade-api/v2/portfolio/events/orders: {"error":{"code":"invalid_order","message":"invalid order","details":"post only cross"}}                                                   1    2026-08-09 19:06:43.773688+00  2026-08-09 19:06:43.773688+00
KXENGCSGAME              filled    (null)                                                                                                                                                                                                    1    2026-08-16 14:37:25.143217+00  2026-08-16 14:37:25.143217+00
